<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.04.04	1.22699	1.23147	1.22570	1.22777	67672	0	1
2018.04.05	1.22774	1.22903	1.22183	1.22401	66831	0	1
2018.04.06	1.22394	1.22908	1.22149	1.22809	99875	0	1
2018.04.09	1.22794	1.23309	1.22602	1.23204	77883	0	1
2018.04.10	1.23184	1.23776	1.23027	1.23557	86437	0	1
2018.04.11	1.23550	1.23964	1.23469	1.23669	77839	0	1
2018.04.12	1.23657	1.23798	1.22992	1.23261	80071	0	1
2018.04.13	1.23255	1.23459	1.23070	1.23290	63714	0	1
2018.04.16	1.23289	1.23945	1.23231	1.23792	57512	0	1
2018.04.17	1.23783	1.24137	1.23360	1.23692	59231	0	1
2018.04.18	1.23689	1.23971	1.23415	1.23734	70339	0	1
2018.04.19	1.23726	1.24002	1.23291	1.23453	80260	0	1
2018.04.20	1.23446	1.23529	1.22496	1.22873	72329	0	1
2018.04.23	1.22695	1.22895	1.21975	1.22083	74477	0	1
2018.04.24	1.22083	1.22450	1.21816	1.22318	80163	0	1
2018.04.25	1.22311	1.22387	1.21600	1.21605	78942	0	1
2018.04.26	1.21599	1.22099	1.20963	1.21031	116739	0	1
2018.04.27	1.21031	1.21329	1.20553	1.21293	90007	0	1
2018.04.30	1.21248	1.21387	1.20641	1.20774	87762	0	1
2018.05.01	1.20772	1.20840	1.19814	1.19921	78079	0	1
2018.05.02	1.19921	1.20316	1.19379	1.19503	128842	0	1
2018.05.03	1.19503	1.20088	1.19477	1.19878	121867	0	1
2018.05.04	1.19878	1.19954	1.19108	1.19609	98396	0	1
2018.05.07	1.19507	1.19780	1.18975	1.19218	65117	0	1
2018.05.08	1.19218	1.19387	1.18380	1.18640	101635	0	1
2018.05.09	1.18638	1.18969	1.18226	1.18501	92730	0	1
2018.05.10	1.18502	1.19465	1.18429	1.19149	122785	0	1
2018.05.11	1.19145	1.19679	1.18911	1.19417	85555	0	1
2018.05.14	1.19418	1.19961	1.19260	1.19262	80250	0	1
2018.05.15	1.19261	1.19385	1.18201	1.18374	110146	0	1
2018.05.16	1.18374	1.18543	1.17631	1.18069	130008	0	1
2018.05.17	1.18065	1.18374	1.17763	1.17931	115750	0	1
2018.05.18	1.17938	1.18221	1.17498	1.17705	87408	0	1
2018.05.21	1.17696	1.17957	1.17166	1.17911	78020	0	1
2018.05.22	1.17911	1.18297	1.17565	1.17780	99635	0	1
2018.05.23	1.17782	1.17896	1.16758	1.16951	140803	0	1
2018.05.24	1.16948	1.17503	1.16907	1.17192	113681	0	1
2018.05.25	1.17202	1.17335	1.16452	1.16492	107336	0	1
2018.05.28	1.16823	1.17284	1.16073	1.16238	91144	0	1
2018.05.29	1.16230	1.16396	1.15098	1.15391	161703	0	0
2018.05.30	1.15349	1.16762	1.15186	1.16622	143785	0	1
2018.05.31	1.16622	1.17244	1.16409	1.16906	128391	0	1
2018.06.01	1.16879	1.17179	1.16166	1.16596	118620	0	1
2018.06.04	1.16554	1.17445	1.16554	1.16978	90141	0	0
2018.06.05	1.16966	1.17321	1.16526	1.17167	100777	0	1
2018.06.06	1.17118	1.17956	1.17107	1.17735	100373	0	1
2018.06.07	1.17728	1.18398	1.17723	1.17979	112147	0	1
2018.06.08	1.17981	1.18103	1.17269	1.17693	90929	0	1
2018.06.11	1.17732	1.18204	1.17710	1.17828	74392	0	1
2018.06.12	1.17821	1.18090	1.17329	1.17454	96897	0	1
2018.06.13	1.17461	1.18008	1.17249	1.17912	101323	0	1
2018.06.14	1.17908	1.18519	1.15628	1.15659	138338	0	1
2018.06.15	1.15680	1.16270	1.15430	1.16070	115763	0	1
2018.06.18	1.15874	1.16242	1.15652	1.16222	76216	0	1
2018.06.19	1.16224	1.16443	1.15305	1.15877	128559	0	1
2018.06.20	1.15872	1.15999	1.15359	1.15704	105384	0	1
2018.06.21	1.15695	1.16335	1.15078	1.16025	137199	0	1
